EMP_NO,EMP_NM,RRN,EMP_ADDR,HIRE_DT,DEPT_CD,GRADE_CD,EMP_STAT_CD,CONTRACT_TP_CD,EMAIL,PWD,REG_DT,RETIRE_DT,USE_YN,LEVEL_CODE
P0001,최서준,9810202000001,서울특별시 테스트구 1번길 1,2025-11-12,D77777,02,P,2,p0001@jos.com,P0001,2025-11-12,,Y,01
P0002,오시우,9820303000002,서울특별시 테스트구 2번길 2,2025-11-12,D77777,03,P,2,p0002@jos.com,P0002,2025-11-12,,Y,01
P0003,임하율,9830404000003,서울특별시 테스트구 3번길 3,2025-11-12,D77777,04,P,2,p0003@jos.com,P0003,2025-11-12,,Y,01
P0004,윤예원,9840505000004,서울특별시 테스트구 4번길 4,2025-11-12,D77777,05,P,2,p0004@jos.com,P0004,2025-11-12,,Y,01
P0005,임수아,9850606000005,서울특별시 테스트구 5번길 5,2025-11-12,D77777,06,P,2,p0005@jos.com,P0005,2025-11-12,,Y,01
P0006,김하윤,9860707000006,서울특별시 테스트구 6번길 6,2025-11-12,D77777,07,P,2,p0006@jos.com,P0006,2025-11-12,,Y,01
P0007,최윤서,9870808000007,서울특별시 테스트구 7번길 7,2025-11-12,D77777,01,P,2,p0007@jos.com,P0007,2025-11-12,,Y,01
P0008,오수아,9880909000008,서울특별시 테스트구 8번길 8,2025-11-12,D77777,02,P,2,p0008@jos.com,P0008,2025-11-12,,Y,01
P0009,신수아,9891010000009,서울특별시 테스트구 9번길 9,2025-11-12,D77777,03,P,2,p0009@jos.com,P0009,2025-11-12,,Y,01
P0010,조서연,9901111000010,서울특별시 테스트구 10번길 10,2025-11-12,D77777,04,P,2,p0010@jos.com,P0010,2025-11-12,,Y,01
P0011,김예준,9911212000011,서울특별시 테스트구 11번길 11,2025-11-12,D77777,05,P,2,p0011@jos.com,P0011,2025-11-12,,Y,01
P0012,임수아,9920113000012,서울특별시 테스트구 12번길 12,2025-11-12,D77777,06,P,2,p0012@jos.com,P0012,2025-11-12,,Y,01
P0013,김서현,9930214000013,서울특별시 테스트구 13번길 13,2025-11-12,D77777,07,P,2,p0013@jos.com,P0013,2025-11-12,,Y,01
P0014,홍연우,9940315000014,서울특별시 테스트구 14번길 14,2025-11-12,D77777,01,P,2,p0014@jos.com,P0014,2025-11-12,,Y,01
P0015,임하율,9950416000015,서울특별시 테스트구 15번길 15,2025-11-12,D77777,02,P,2,p0015@jos.com,P0015,2025-11-12,,Y,01
P0016,윤하윤,9960517000016,서울특별시 테스트구 16번길 16,2025-11-12,D77777,03,P,2,p0016@jos.com,P0016,2025-11-12,,Y,01
P0017,서시우,9970618000017,서울특별시 테스트구 17번길 17,2025-11-12,D77777,04,P,2,p0017@jos.com,P0017,2025-11-12,,Y,01
P0018,정예준,9980719000018,서울특별시 테스트구 18번길 18,2025-11-12,D77777,05,P,2,p0018@jos.com,P0018,2025-11-12,,Y,01
P0019,정유진,9990820000019,서울특별시 테스트구 19번길 19,2025-11-12,D77777,06,P,2,p0019@jos.com,P0019,2025-11-12,,Y,01
P0020,장서현,9800921000020,서울특별시 테스트구 20번길 20,2025-11-12,D77777,07,P,2,p0020@jos.com,P0020,2025-11-12,,Y,01
P0021,홍서준,9811022000021,서울특별시 테스트구 21번길 21,2025-11-12,D77777,01,P,2,p0021@jos.com,P0021,2025-11-12,,Y,01
P0022,박서현,9821123000022,서울특별시 테스트구 22번길 22,2025-11-12,D77777,02,P,2,p0022@jos.com,P0022,2025-11-12,,Y,01
P0023,박서준,9831224000023,서울특별시 테스트구 23번길 23,2025-11-12,D77777,03,P,2,p0023@jos.com,P0023,2025-11-12,,Y,01
P0024,홍윤서,9840125000024,서울특별시 테스트구 24번길 24,2025-11-12,D77777,04,P,2,p0024@jos.com,P0024,2025-11-12,,Y,01
P0025,최예준,9850226000025,서울특별시 테스트구 25번길 25,2025-11-12,D77777,05,P,2,p0025@jos.com,P0025,2025-11-12,,Y,01
P0026,유지우,9860327000026,서울특별시 테스트구 26번길 26,2025-11-12,D77777,06,P,2,p0026@jos.com,P0026,2025-11-12,,Y,01
P0027,조서현,9870428000027,서울특별시 테스트구 27번길 27,2025-11-12,D77777,07,P,2,p0027@jos.com,P0027,2025-11-12,,Y,01
P0028,장서연,9880501000028,서울특별시 테스트구 28번길 28,2025-11-12,D77777,01,P,2,p0028@jos.com,P0028,2025-11-12,,Y,01
P0029,조지훈,9890602000029,서울특별시 테스트구 29번길 29,2025-11-12,D77777,02,P,2,p0029@jos.com,P0029,2025-11-12,,Y,01
P0030,한유진,9900703000030,서울특별시 테스트구 30번길 30,2025-11-12,D77777,03,P,2,p0030@jos.com,P0030,2025-11-12,,Y,01
P0031,정서연,9910804000031,서울특별시 테스트구 31번길 31,2025-11-12,D77777,04,P,2,p0031@jos.com,P0031,2025-11-12,,Y,01
P0032,윤도윤,9920905000032,서울특별시 테스트구 32번길 32,2025-11-12,D77777,05,P,2,p0032@jos.com,P0032,2025-11-12,,Y,01
P0033,유수아,9931006000033,서울특별시 테스트구 33번길 33,2025-11-12,D77777,06,P,2,p0033@jos.com,P0033,2025-11-12,,Y,01
P0034,유현우,9941107000034,서울특별시 테스트구 34번길 34,2025-11-12,D77777,07,P,2,p0034@jos.com,P0034,2025-11-12,,Y,01
P0035,임예원,9951208000035,서울특별시 테스트구 35번길 35,2025-11-12,D77777,01,P,2,p0035@jos.com,P0035,2025-11-12,,Y,01
P0036,한윤서,9960109000036,서울특별시 테스트구 36번길 36,2025-11-12,D77777,02,P,2,p0036@jos.com,P0036,2025-11-12,,Y,01
P0037,최지훈,9970210000037,서울특별시 테스트구 37번길 37,2025-11-12,D77777,03,P,2,p0037@jos.com,P0037,2025-11-12,,Y,01
P0038,조지훈,9980311000038,서울특별시 테스트구 38번길 38,2025-11-12,D77777,04,P,2,p0038@jos.com,P0038,2025-11-12,,Y,01
P0039,박하윤,9990412000039,서울특별시 테스트구 39번길 39,2025-11-12,D77777,05,P,2,p0039@jos.com,P0039,2025-11-12,,Y,01
P0040,오도윤,9800513000040,서울특별시 테스트구 40번길 40,2025-11-12,D77777,06,P,2,p0040@jos.com,P0040,2025-11-12,,Y,01
P0041,조지훈,9810614000041,서울특별시 테스트구 41번길 41,2025-11-12,D77777,07,P,2,p0041@jos.com,P0041,2025-11-12,,Y,01
P0042,홍예원,9820715000042,서울특별시 테스트구 42번길 42,2025-11-12,D77777,01,P,2,p0042@jos.com,P0042,2025-11-12,,Y,01
P0043,한유진,9830816000043,서울특별시 테스트구 43번길 43,2025-11-12,D77777,02,P,2,p0043@jos.com,P0043,2025-11-12,,Y,01
P0044,박연우,9840917000044,서울특별시 테스트구 44번길 44,2025-11-12,D77777,03,P,2,p0044@jos.com,P0044,2025-11-12,,Y,01
P0045,박하은,9851018000045,서울특별시 테스트구 45번길 45,2025-11-12,D77777,04,P,2,p0045@jos.com,P0045,2025-11-12,,Y,01
P0046,윤민수,9861119000046,서울특별시 테스트구 46번길 46,2025-11-12,D77777,05,P,2,p0046@jos.com,P0046,2025-11-12,,Y,01
P0047,박예원,9871220000047,서울특별시 테스트구 47번길 47,2025-11-12,D77777,06,P,2,p0047@jos.com,P0047,2025-11-12,,Y,01
P0048,신하은,9880121000048,서울특별시 테스트구 48번길 48,2025-11-12,D77777,07,P,2,p0048@jos.com,P0048,2025-11-12,,Y,01
P0049,한유진,9890222000049,서울특별시 테스트구 49번길 49,2025-11-12,D77777,01,P,2,p0049@jos.com,P0049,2025-11-12,,Y,01
P0050,윤민재,9900323000050,서울특별시 테스트구 50번길 50,2025-11-12,D77777,02,P,2,p0050@jos.com,P0050,2025-11-12,,Y,01
