deptCd,deptNm,gradeNM,cotractTpNM,empStatNM,empNo,empNm,hireDt,contactNo,email
D00000,대표이사실,대표이사,,재직,01001,김조스,2010/01/01, ,jos@company.com
D00000,대표이사실,이사,,재직,01002,박팀쿡,2020/03/01, ,parktimcook@company.com
D00000,대표이사실,이사,,재직,01003,이잡스,2020/03/01, ,leejobs@company.com
D10100,인사부,부장,,재직,00011,장수아,2024/06/13,010-2721-9829,장수아@jos.com
D10100,인사부,부장,,재직,00079,유연우,2023/09/23, ,유연우@jos.com
D10100,인사부,부장,,재직,00004,정연우,2024/12/05, ,정연우@jos.com
D10100,인사부,차장,,재직,00071,오도윤,2024/02/27,010-2819-9192,오도윤@jos.com
D10100,인사부,과장,,재직,00055,윤수아,2023/08/16,010-1119-4703,윤수아@jos.com
D10100,인사부,과장,,재직,00091,한민서,2023/02/14,010-8092-7884,한민서@jos.com
D10100,인사부,과장,,재직,00100,신민서,2023/08/19,010-2322-2374,신민서@jos.com
D10100,인사부,과장,,재직,00096,유서준,2023/10/12,010-9491-5352,유서준@jos.com
D10100,인사부,대리,,재직,00003,임서연,2019/08/01, ,임서연@jos.com
D10100,인사부,대리,,재직,00066,이지우,2018/10/23,010-7410-7353,이지우@jos.com
D10100,인사부,대리,,재직,00038,김현우,2021/12/09, ,김현우@jos.com
D10100,인사부,대리,,재직,00076,박연우,2021/08/20,010-3333-7533,박연우@jos.com
D10100,인사부,사원,,재직,00080,오하은,2022/03/20, ,오하은@jos.com
D10100,인사부,사원,,재직,00049,유서준,2018/05/09,010-7412-7050,유서준@jos.com
D10100,인사부,사원,,재직,00044,조유진,2022/08/03,010-9409-5408,조유진@jos.com
D10110,인사기획팀,대리,,재직,00015,조하은,2021/10/24,010-4322-4625,조하은@jos.com
D10120,인사운영팀,부장,,재직,00005,정유진,2021/10/23,010-5948-3560,정유진@jos.com
D10120,인사운영팀,대리,,재직,00048,윤지민,2024/05/28,010-6930-5111,윤지민@jos.com
D10120,인사운영팀,대리,,재직,00092,서유진,2021/11/30,010-6481-7891,서유진@jos.com
D10120,인사운영팀,사원,,재직,00024,신도윤,2020/10/01,010-8857-2786,신도윤@jos.com
D10200,총무부,부장,,재직,00065,오지호,2018/07/08,010-4344-4869,오지호@jos.com
D10200,총무부,부장,,재직,00063,유연우,2023/02/13, ,유연우@jos.com
D10200,총무부,부장,,재직,00087,한연우,2023/08/22, ,한연우@jos.com
D10200,총무부,부장,,재직,00088,유민서,2021/07/06, ,유민서@jos.com
D10200,총무부,부장,,재직,00095,김서준,2023/05/29,010-7081-7716,김서준@jos.com
D10200,총무부,차장,,재직,00056,김지우,2019/11/24,010-6603-9009,김지우@jos.com
D10200,총무부,차장,,재직,00051,한현우,2020/05/16, ,한현우@jos.com
D10200,총무부,차장,,재직,00035,신연우,2019/03/12,010-5613-2739,신연우@jos.com
D10200,총무부,차장,,재직,00075,한하윤,2020/05/26,010-2688-1512,한하윤@jos.com
D10200,총무부,과장,,재직,00045,최민서,2020/10/11,010-2760-4033,최민서@jos.com
D10200,총무부,과장,,재직,00039,유서준,2024/01/25,010-4840-1874,유서준@jos.com
D10200,총무부,과장,,재직,00061,윤지우,2021/10/26,010-9105-6369,윤지우@jos.com
D10200,총무부,대리,,재직,00046,최연우,2023/10/20,010-3488-7465,최연우@jos.com
D10200,총무부,대리,,재직,00020,정하윤,2019/09/06,010-7101-7378,정하윤@jos.com
D10200,총무부,대리,,재직,00002,정수아,2018/08/01,010-9311-5237,정수아@jos.com
D10200,총무부,대리,,재직,00081,서도윤,2022/09/19, ,서도윤@jos.com
D10200,총무부,사원,,재직,00085,한민서,2020/02/11, ,한민서@jos.com
D10200,총무부,사원,,재직,00069,홍현우,2023/05/15,010-6923-6293,홍현우@jos.com
D10200,총무부,사원,,재직,00053,유연우,2018/03/13,010-9433-5745,유연우@jos.com
D10200,총무부,사원,,재직,00043,서지민,2021/11/03,010-8128-7865,서지민43@jos.com
D10200,총무부,사원,,재직,00094,김하윤,2021/07/16, ,김하윤@jos.com
D10210,총무팀,사원,,재직,00083,박지민,2023/07/15,010-9626-3586,박지민@jos.com
D10220,시설관리팀,대리,,재직,00041,오연우,2019/10/23,010-7415-1337,오연우@jos.com
D12345,태스크포스팀,대리,,퇴직,D2001,김영산,0025/11/10, ,sani@JOS.com
D20100,회계부,대리,,재직,00018,신시우,2024/10/01,010-8856-1791,신시우@jos.com
D20100,회계부,사원,,재직,00010,홍지우,2024/11/12,010-6013-7281,홍지우@jos.com
D20200,자금부,부장,,재직,00064,서현우,2018/06/25, ,서현우@jos.com
D30000,개발본부,부장,,재직,00070,서예준,2023/10/12, ,서예준@jos.com
D30000,개발본부,부장,,재직,00050,한유진,2018/03/04, ,한유진@jos.com
D30000,개발본부,부장,,재직,00008,장민서,2018/10/01, ,장민서@jos.com
D30000,개발본부,부장,,재직,00097,조도윤,2023/10/01,010-4334-1480,조도윤@jos.com
D30000,개발본부,부장,,재직,00019,서예준,2022/01/07, ,서예준@jos.com
D30000,개발본부,부장,,재직,00052,임예준,2022/07/04, ,임예준@jos.com
D30000,개발본부,부장,,재직,00040,이수아,2024/07/27,010-1140-8421,이수아@jos.com
D30000,개발본부,차장,,재직,00078,한도윤,2023/03/17,010-4281-7955,한도윤@jos.com
D30000,개발본부,차장,,재직,00009,서지민,2019/08/08, ,서지민@jos.com
D30000,개발본부,차장,,재직,00054,유지민,2023/06/09,010-3931-1038,유지민@jos.com
D30000,개발본부,차장,,재직,00021,장도윤,2020/09/09, ,장도윤@jos.com
D30000,개발본부,차장,,재직,00030,유지민,2024/09/04,010-6470-3215,유지민@jos.com
D30000,개발본부,과장,,재직,00058,서지우,2022/02/11,010-8678-5723,서지우@jos.com
D30000,개발본부,과장,,재직,00017,김도윤,2022/09/06,010-3910-8387,김도윤@jos.com
D30000,개발본부,과장,,재직,00025,오수아,2020/04/05,010-7768-7423,오수아@jos.com
D30000,개발본부,과장,,재직,00042,서지민,2020/10/03, ,서지민@jos.com
D30000,개발본부,과장,,재직,00034,윤지민,2022/12/08, ,윤지민@jos.com
D30000,개발본부,대리,,재직,00067,윤서연,2021/07/30,010-5778-3481,윤서연@jos.com
D30000,개발본부,대리,,재직,00093,조예준,2024/12/20,010-3873-4300,조예준@jos.com
D30000,개발본부,사원,,재직,00072,윤지우,2022/10/10, ,윤지우@jos.com
D30100,개발1팀,부장,,재직,00073,유현우,2023/02/24,010-4046-2887,유현우@jos.com
D30100,개발1팀,대리,,재직,00059,장지민,2021/05/22, ,장지민@jos.com
D30200,개발2팀,사원,,재직,00012,박현우,2024/08/22, ,박현우@jos.com
D30300,품질(QA)팀,과장,,재직,00084,서시우,2022/09/17,010-5726-4798,서시우@jos.com
D40000,영업본부,부장,,재직,00031,정지우,2021/03/24,010-5014-3364,정지우@jos.com
D40000,영업본부,차장,,재직,00007,오도윤,2019/05/03,010-3346-4725,오도윤@jos.com
D40000,영업본부,차장,,재직,00098,이시우,2019/07/08,010-2248-8074,이시우@jos.com
D40000,영업본부,과장,,재직,00006,한서준,2024/10/19,010-2392-9361,한서준@jos.com
D40000,영업본부,대리,,재직,00033,김도윤,2023/11/29, ,김도윤33@jos.com
D40000,영업본부,대리,,재직,00077,서서연,2022/06/16, ,서서연@jos.com
D40000,영업본부,대리,,재직,00032,홍서준,2023/11/04,010-7858-7901,홍서준@jos.com
D40000,영업본부,대리,,재직,00014,임지우,2022/05/21, ,임지우@jos.com
D40000,영업본부,대리,,재직,00082,서연우,2021/08/22, ,서연우@jos.com
D40200,해외영업팀,사원,,재직,00016,신지호,2023/03/12, ,신지호@jos.com
D40300,영업기획팀,과장,,재직,00001,오바마,2018/03/11, ,오시우@jos.com
D50000,마케팅본부,부장,,재직,00089,신지호,2021/02/03,010-9835-3390,신지호@jos.com
D50000,마케팅본부,차장,,재직,00028,장지우,2020/12/26, ,장지우@jos.com
D50000,마케팅본부,차장,,재직,00026,서하은,2021/06/27,010-7320-8853,서하은@jos.com
D50000,마케팅본부,차장,,재직,00090,윤서준,2018/04/20,010-6516-6903,윤서준@jos.com
D50000,마케팅본부,과장,,재직,00074,박수아,2024/12/07,010-2138-7433,박수아@jos.com
D50000,마케팅본부,과장,,재직,00099,유도윤,2018/07/24, ,유도윤@jos.com
D50000,마케팅본부,대리,,재직,00086,임하은,2022/09/10,010-1800-8969,임하은@jos.com
D50000,마케팅본부,대리,,재직,00068,김현우,2023/06/13,010-6602-9479,김현우@jos.com
D50000,마케팅본부,대리,,재직,00013,장시우,2021/11/10,010-3143-5946,장시우@jos.com
D50000,마케팅본부,대리,,재직,00029,유연우,2019/12/05,010-8779-9827,유연우@jos.com
D50000,마케팅본부,대리,,재직,00027,임지우,2023/01/16, ,임지우27@jos.com
D50000,마케팅본부,사원,,재직,00047,신하윤,2021/05/24,010-8961-4232,신하윤@jos.com
D50000,마케팅본부,사원,,재직,00036,정수아,2023/11/21, ,정수아@jos.com
D50000,마케팅본부,사원,,재직,00022,홍연우,2022/09/26, ,홍연우@jos.com
D50000,마케팅본부,사원,,재직,00060,윤지호,2020/01/03,010-9475-7543,윤지호@jos.com
D50200,콘텐츠팀,차장,,재직,00037,윤민서,2018/10/20,010-9212-2046,윤민서@jos.com
D50300,시장분석팀,사원,,재직,00057,박지우,2022/05/30,010-1509-2945,박지우@jos.com
D50300,시장분석팀,사원,,재직,00062,유하은,2023/01/16,010-8282-4202,유하은@jos.com
D60100,고객상담팀,과장,,재직,00023,정시우,2024/08/12,010-3524-9622,정시우@jos.com
